Age,Male,Female
20,486.56,484.58
21,528.59,521.72
22,563.97,547.38
23,603.14,585.11
24,636.53,604.07
25,665.05,631.48
26,703.85,664.28
27,735.20,693.65
28,772.86,727.20
29,802.47,749.31
30,820.75,773.22
31,845.01,801.38
32,866.78,816.44
33,887.46,839.59
34,903.54,858.47
35,926.70,873.30
36,941.64,889.59
37,965.54,901.53
38,982.82,913.77
39,996.22,922.63
40,1019.48,936.84
41,1036.14,939.98
42,1053.58,946.48
43,1070.49,958.30
44,1090.82,968.15
45,1105.09,974.61
46,1118.00,978.01
47,1130.92,980.89
48,1147.00,990.14
49,1162.26,995.74
50,1182.76,1002.26
51,1206.24,1009.18
52,1224.62,1016.05
53,1250.57,1027.04
54,1274.48,1034.55
55,1303.27,1043.34
56,1329.95,1054.45
57,1355.55,1060.79
58,1382.19,1073.03
59,1410.27,1084.35
60,1433.35,1094.13
61,1459.23,1100.36
62,1483.81,1109.61
63,1503.01,1114.77
64,1514.30,1112.96
65,1531.84,1111.12
