Year,Bend_pt1,Bend_pt2
1979,816,4917
1980,816,4917
1981,816,4917
1982,816,4917
1983,816,4917
1984,816,4917
1985,816,4917
1986,816,4917
1987,816,4917
1988,816,4917
1989,816,4917
1990,816,4917
1991,816,4917
1992,816,4917
1993,816,4917
1994,816,4917
1995,816,4917
1996,816,4917
1997,816,4917
1998,816,4917
1999,816,4917
2000,816,4917
2001,816,4917
2002,816,4917
2003,816,4917
2004,816,4917
2005,816,4917
2006,816,4917
2007,816,4917
2008,816,4917
2009,816,4917
2010,816,4917
2011,816,4917
2012,816,4917
2013,816,4917
2014,816,4917
2015,816,4917
2016,816,4917
2017,816,4917
2018,816,4917
2019,816,4917
2020,816,4917
2021,816,4917
2022,816,4917
2023,816,4917
2024,816,4917
2025,816,4917
2026,816,4917
2027,816,4917
2028,816,4917
2029,816,4917
2030,816,4917
2031,816,4917
2032,816,4917
2033,816,4917
2034,816,4917
2035,816,4917
2036,816,4917
2037,816,4917
2038,816,4917
2039,816,4917
2040,816,4917
2041,816,4917
2042,816,4917
2043,816,4917
2044,816,4917
2045,816,4917
2046,816,4917
2047,816,4917
2048,816,4917
2049,816,4917
2050,816,4917
2051,816,4917
2052,816,4917
2053,816,4917
2054,816,4917
2055,816,4917
2056,816,4917
2057,816,4917
2058,816,4917
2059,816,4917
2060,816,4917
2061,816,4917
2062,816,4917
2063,816,4917
2064,816,4917
2065,816,4917
2066,816,4917
2067,816,4917
2068,816,4917
2069,816,4917
2070,816,4917
