Year,Max_Earnings
1948,3000
1949,3000
1950,3000
1951,3600
1952,3600
1953,3600
1954,3600
1955,4200
1956,4200
1957,4200
1958,4200
1959,4800
1960,4800
1961,4800
1962,4800
1963,4800
1964,4800
1965,4800
1966,6600
1967,6600
1968,7800
1969,7800
1970,7800
1971,7800
1972,9000
1973,10800
1974,13200
1975,14100
1976,15300
1977,16500
1978,17700
1979,22900
1980,25900
1981,29700
1982,32400
1983,35700
1984,37800
1985,39600
1986,42000
1987,43800
1988,45000
1989,48000
1990,51300
1991,53400
1992,55500
1993,57600
1994,60600
1995,61200
1996,62700
1997,65400
1998,68400
1999,72600
2000,76200
2001,80400
2002,84900
2003,87000
2004,87900
2005,90000
2006,94200
2007,97500
2008,102000
2009,106800
2010,106800
2011,106800
2012,110100
2013,113700
2014,117000
2015,118500
2016,118500
2017,118500
2018,118500
2019,118500
2020,118500
2021,118500
2022,118500
2023,118500
2024,118500
2025,118500
2026,118500
2027,118500
2028,118500
2029,118500
2030,118500
2031,118500
2032,118500
2033,118500
2034,118500
2035,118500
2036,118500
2037,118500
2038,118500
2039,118500
2040,118500
2041,118500
2042,118500
2043,118500
2044,118500
2045,118500
2046,118500
2047,118500
2048,118500
2049,118500
2050,118500
2051,118500
2052,118500
2053,118500
2054,118500
2055,118500
2056,118500
2057,118500
2058,118500
2059,118500
2060,118500
2061,118500
2062,118500
2063,118500
2064,118500
2065,118500
2066,118500
2067,118500
2068,118500
2069,118500
2070,118500
2071,118500
2072,118500
2073,118500
2074,118500
2075,118500
2076,118500
2077,118500
2078,118500
2079,118500
