SS_MTR_head,SS_MTR_spouse,RECID
0.0,0.0,51940
0.1248,0.0,3452160
0.2808,0.0,3323870
0.2808,0.0936,3455930
0.0,0.0,3628610
0.0,0.0,3340520
0.0936,0.0,3672510
0.0,0.0936000000001,3649970
0.0936,0.2808,3234000
0.0,0.0,3484000
0.0,0.0,3452350
0.0,0.0,3667800
0.0,0.0,3627690
0.0936,0.0,3206420
0.0,0.0,3532720
0.0,0.0936,2977640
0.0,0.0,2848730
0.0,0.0,3410170
0.0,0.0,3623890
0.0,0.0,3623040
0.0,0.0,2898720
0.0,0.0,3483490
0.0,0.0,1470120
0.0,0.0,3377900
0.0,0.0,954300
0.0,0.0,3379610
0.2808,0.2808,2612000
0.0,0.0936000000001,3110590
0.0,0.0936,1509740
0.0,0.0,2143890
0.0,0.0,3037520
0.0,0.2808,3301940
0.0,0.0,2431650
0.0936,0.2808,3274020
0.0,0.0,3627270
0.0936,0.0,3624800
0.0,0.0,2934040
0.1248,0.0,3309320
0.0936,0.0,2581660
0.0,0.0,3619050
0.1248,0.0,3531340
0.0,0.0,3626880
0.0,0.0,2736130
0.0936,0.0,3626030
0.0936,0.0,2431890
0.0,0.0,3624860
0.0,0.0,3261700
0.0,0.0,3709290
0.0,0.0,3456120
0.1248,0.0,3230520
0.0936,0.0,3558590
0.0,0.0,1735490
0.1872,0.0,3411800
0.2808,0.0,2681380
0.0936,0.0936000000001,3101460
0.0,0.0,3669050
0.0,0.0,2173790
0.0,0.0,2919400
0.0,0.0,3137010
0.0,0.0,3462560
0.0,0.0,3152470
0.0936,0.0,3454750
0.1248,0.0,3230000
0.0936,0.0,3268240
0.0,0.0,2968150
0.0,0.0,3079910
0.0,0.0,3669080
0.0,0.0,3234830
0.0,0.0,3672490
0.0936,0.0,3619990
0.0,0.1872,3379880
0.0936,0.0,2968160
0.0,0.0,3672520
0.0,0.2808,3530080
0.0,0.0,3452300
0.2808,0.2808,3528900
0.0936,0.0,3006590
0.0,0.0,3687950
0.0,0.0,3529770
0.0,0.0,3346600
0.0,0.0,3530320
0.0936,0.0936000000001,3639060
0.0,0.0,3266700
0.0,0.0,1470270
0.0936,0.0,3114500
0.2808,0.0,3452750
0.1248,0.0,3530910
0.0936,0.0,3649670
0.0,0.0,3043430
0.0,0.0,3650880
0.0936,0.0,3296380
0.0,0.0,3708640
0.0,0.0,2722640
0.0,0.0,3531930
0.0,0.0,1538560
0.0,0.0936000000001,3485030
0.0,0.0,2791950
0.0,0.0,3529830
0.2808,0.0,3624160
0.0936,0.0,2711020
0.0936,0.0,2520
0.0,0.2808,3055580
0.0,0.0,3080690
0.0,0.2808,3618650
0.2808,0.0,2928640
0.0,0.2184,3533600
0.0936,0.1248,3649780
0.0,0.0,3341080
0.0,0.0,1858820
0.0936,0.0,3534590
0.0,0.0936000000001,2910610
0.0936,0.2808,2230
0.0,0.0,2325120
0.0936,0.0,2683600
0.0,0.0,3161680
0.0936,0.0,1619500
0.0,0.0,2131130
0.0,0.0,3484730
0.1248,0.0,3234330
0.0,0.0,2334440
0.0936000000001,0.0936000000001,2250
0.0,0.0,3623540
0.0936,0.0936,3622410
0.0,0.1248,1233700
0.0,0.2808,3171100
0.0,0.0,3379960
0.0936,0.0,3452880
0.0,0.0,3315030
0.0,0.0,2377470
0.0,0.0,2956290
0.0936000000001,0.0936,2810850
0.0,0.0,2835490
0.0,0.0,3183680
0.0936,0.0936000000001,1588070
0.0,0.0936000000001,3668180
0.0,0.2808,2581560
0.0,0.2808,3619270
0.0,0.0,2899230
0.0,0.0,2737110
0.0,0.0,3650750
0.0936,0.0,3032550
0.0,0.0,3667550
0.0,0.0,3188620
0.0936,0.2808,2757470
0.0,0.0,3147320
0.0936,0.0,954270
0.1248,0.0936000000001,2906170
0.0,0.0936,2324010
0.2184,0.0,3625530
0.0,0.0,1390160
0.0,0.0936,3005230
0.2808,0.0,3077700
0.0,0.0,3404700
0.1248,0.0,3404560
0.0,0.2808,3454320
0.0,0.0,3380940
0.0,0.0,3453900
0.0,0.0,2863870
0.0,0.0,3148640
0.0,0.0,3620590
0.0,0.0,3024520
0.0,0.0,3617770
0.0,0.0,3627330
0.0,0.0,2173720
0.0,0.0,3297450
0.1248,0.0,3619030
0.2808,0.0,3619031
0.0,0.0,1309630
0.0,0.0,2918040
0.0936,0.2808,2828190
0.0,0.0,3455540
0.0,0.0,867540
0.0,0.0,3127750
0.1248,0.0,3404680
0.0936,0.5616,3693190
0.0,0.0,3454680
0.0936,0.0,987100
0.0936000000001,0.0,3173490
0.2808,0.0,2519450
0.0,0.0,3324260
0.1248,0.0,14150
0.0,0.0,2924050
0.0,0.0,3454040
0.0,0.0,3668360
0.0,0.0,2750270
0.0936,0.0,2682790
0.0936,0.0,3380380
0.0,0.0,3648730
0.0,0.0,3685420
0.0,0.0,2736140
0.2808,0.0,867550
0.0,0.0,1588050
0.0,0.0,3110790
0.0,0.0936000000001,3626310
0.0,0.0,3229580
0.0,0.0,1470130
0.0,0.0,3531300
0.0936,0.0,2787550
0.0,0.0,2249490
0.0,0.0,1824410
0.1248,0.0,2767160
0.0,0.0,3264010
0.0,0.0,3454910
0.0,0.0,2324250
0.0,0.0,3230150
0.0,0.0,2881120
0.0,0.0,59150
0.0,0.0,3282470
0.0,0.0,3312820
0.0,0.0,3528830
0.0,0.0,1188520
0.0,0.0,2681890
0.0936,0.0936,3696520
0.0,0.0,3304800
0.0936,0.0,3323060
0.0,0.0,2249890
0.0,0.0,2842700
0.0,0.0,2953060
0.0,0.0,2848661
0.0,0.0,2848660
0.0,0.0,3530940
0.0,0.0936000000001,3405410
0.0,0.0,3229720
0.2808,0.0,2131840
0.1248,0.0,3158340
0.0936,0.2808,3455160
0.0,0.0,3482550
0.0936,0.0,3268590
0.0,0.0,3193300
0.0,0.0,2324970
0.2808,0.0,3669020
0.2808,0.0936000000001,3413090
0.0936,0.0,3483450
0.0,0.0,3275650
0.0,0.0,3125430
0.0,0.0936000000001,1017820
0.1248,0.0,3378330
0.0,0.2808,3266070
0.0,0.2808,32700
0.2808,0.0,3693300
0.0936000000001,0.0,3242340
0.0,0.0,2955270
0.0,0.0,3532810
0.0,0.0,1192810
0.0,0.0,3313420
0.0936,0.0,3156540
0.0,0.0,3205280
0.0,0.0,2249650
0.0,0.0,3420780
0.0,0.0,3564200
0.0,0.2808,3279910
0.0,0.0,3296670
0.1248,0.0,2947050
0.0,0.0,3280370
0.0,0.0,3051040
0.0,0.0,3097190
0.0,0.0,2114200
0.0936000000001,0.2808,2377390
0.0,0.0,1266150
0.0,0.0,1025790
0.0,0.0,3454780
0.2184,0.0,3185680
0.0,0.0,3620990
0.0,0.0,3199000
0.0,0.0,3452030
0.0,0.0,3175790
0.0,0.0,2836020
0.0,0.0,3266150
0.0,0.0,3341430
0.0936,0.0,3336550
0.0,0.0,3139140
0.0,0.0,3533160
0.0,0.0,3636530
0.1248,0.0,3533040
0.0936,0.0,3621080
0.1248,0.2184,3380080
0.0,0.0,2324870
0.0936,0.0,577500
0.1248,0.0,3569450
0.0936,0.0,3009820
0.0,0.0,3255050
0.0,0.0,3706620
0.0,0.0936000000001,3534020
0.0936,0.0,2543500
0.0,0.0,3404970
0.0936,0.0,2750110
0.0936,0.0936000000001,3370380
0.0936,0.0,2904310
0.0,0.0,2324350
0.0,0.0,3455820
0.0936,0.0,1766580
0.0,0.0,3126560
0.0,0.1872,3314800
0.0,0.0,2576810
0.0,0.0,3620790
0.0,0.0,3383300
0.0,0.0,3230410
0.0,0.0,3097030
0.1248,0.0,2927660
0.0,0.0,3453550
0.1248,0.0,3265380
0.0,0.0,2750520
0.0,0.0,3341450
0.0,0.2808,3686760
0.0,0.0,3068600
0.0,0.0,2736260
0.1248,0.0936,3619480
0.0,0.0,3172560
0.0,0.0,3532550
0.0,0.0,2991150
0.0,0.0,3535730
0.0,0.0,3562580
0.0,0.0,3676950
0.0936,0.0,3148980
0.2808,0.1248,3531190
0.0936,0.0,3044520
0.0,0.0,2324880
0.0,0.0,1168370
0.0,0.0,3174380
0.2808,0.0,2028260
0.0,0.0936000000001,3278930
0.5616,0.2808,3636070
0.0,0.0,3286170
0.0,0.0,3331420
0.0,0.0,3169680
0.2184,0.0,3547010
0.0,0.0,3622480
0.0,0.0,3063990
0.0,0.0,59770
0.0,0.0,2048920
0.2808,0.0,3618360
0.1872,0.0,2949050
0.0,0.0,3083040
0.0,0.0,3377660
0.0,0.0,682630
0.2808,0.0,2167940
0.1872,0.0,1307750
0.0,0.0,3661550
0.0936,0.0,1163620
0.0,0.0,2722480
0.1248,0.0,3484800
0.1248,0.0936,2786140
0.0,0.0,3089260
0.0,0.0,2831100
0.0,0.0,1804470
0.0936,0.0936,3669520
0.0,0.0,3070140
0.0,0.0,3438750
0.2184,0.0,2969220
0.0,0.0,832830
0.0,0.0936,2377200
0.0,0.0,3325020
0.0936,0.2808,2434250
0.0936,0.0,3421220
0.1248,0.0,3641150
0.0936,0.0,3105080
0.0,0.0,1999180
0.0,0.0,3350390
0.0,0.0,2984320
0.0936,0.0,3531000
0.0,0.0936000000001,1615640
0.0,0.0,3621400
0.0,0.0,3529100
0.0,0.2808,3379170
0.0,0.0,3539230
0.0,0.0,3202270
0.0,0.0,3649850
0.0,0.0,3557600
0.0936,0.2808,1955230
0.2184,0.0,3530740
0.0,0.0,3680120
0.0,0.0936,3296190
0.2808,0.0,3341170
0.2808,0.0,1712930
0.0936,0.2808,2118820
0.0936,0.0,324090
0.2808,0.0,3349410
0.0,0.0936000000001,3465260
0.0,0.2808,3491190
0.0,0.0,1135950
0.0,0.2808,3537210
0.0,0.0,1470040
0.0,0.0,3566930
0.0,0.0936,2149370
0.0,0.0,3168940
0.0,0.0,939030
0.0,0.0,2210880
0.0,0.0,3261310
0.0,0.0,3648000
0.0,0.0,3194470
0.0936,0.0,3564620
0.0,0.0,3529240
0.0936,0.0,3532030
0.0,0.0936,2885800
0.0,0.0,3686570
0.0,0.0,2118140
0.0,0.0,2931050
0.0,0.0,3556970
0.0936,0.0,2683250
0.0,0.0,3083900
0.0,0.0936,3534420
0.1248,0.0,3632790
0.0,0.0,2932680
0.0,0.0,3379670
0.0,0.0,3109670
0.0936,0.0,3291350
0.0,0.0,3171180
0.0,0.0936,2830740
0.0,0.0,3379250
0.0,0.0,3173130
0.0,0.0936,3314540
0.0,0.0,3532010
0.0,0.0,3532270
0.0,0.0936,3232660
0.1248,0.0,760390
0.0,0.2808,3416920
0.0936000000001,0.2808,3351130
0.2808,0.5616,1902950
0.0936,0.0,3340730
0.0936,0.0,845700
0.0936,0.0,3530490
0.0,0.0,1974390
0.0936,0.0,3204660
0.0936,0.0936,2776890
0.0,0.0,1755910
0.0,0.0,3676470
0.0,0.0,2450470
0.1872,0.0,2893390
0.0,0.0,1607460
0.0,0.0,3225590
0.0,0.0,2966660
0.0,0.0,2744160
0.0,0.0,2744170
0.0,0.0,2826210
0.0,0.0,3668000
0.0,0.0,3421670
0.0,0.0,3233930
0.1248,0.0,1735680
0.0,0.0,2762830
0.0,0.0,3650960
0.0,0.0,3570980
0.0,0.0,2926300
0.0,0.0,2914230
0.0,0.0,3040450
0.0,0.0,3247370
0.0,0.0,2534630
0.0,0.0,3279260
0.0,0.0,2444350
0.0,0.0,3632570
0.0936,0.0936,3239980
0.0936,0.0936,3327870
0.0,0.0,3081230
0.0,0.0,2126700
0.0,0.0936000000001,2766200
0.0,0.0,3349380
0.0,0.0,3715440
0.0,0.0,3230390
0.0936,0.2808,2372410
0.0,0.0936000000001,3269190
0.0,0.0,3384280
0.0936,0.0,2438490
0.0,0.0,3112980
0.0,0.2808,2323930
0.0936,0.0,3621760
0.0,0.0,2293780
0.0936,0.0936,2386670
0.0,0.0,3685010
0.0936,0.0,3626180
0.0,0.0,2312970
0.0936,0.0936000000001,3130690
0.0,0.0,1049820
0.0,0.0,2993040
0.0,0.0,3493870
0.0,0.0,3620910
0.0,0.0,3437970
0.0,0.0,2885430
0.0,0.0,3407010
0.0,0.0,1194000
0.0,0.0,3397340
0.0,0.0,3458150
0.0,0.0,2867080
