State,Fips,Total Annual Benefits,Total Annual Recipient,Average Annual Benefits
Alabama,1,179524456,40902.91667,4389.03801
Alaska,2,75949483,9465.916667,8023.468373
Arizona,4,335884400,29409.41667,11420.98137
Arkansas,5,140899391,13492.66667,10442.66448
California,6,6341455425,1298103.417,4885.169657
Colorado,8,315459854,45018.33333,7007.364126
Connecticut,9,470463547,28806.16667,16332.0428
Delaware,10,106170159,13208.58333,8037.967157
District of Columbia,11,260528062,16687.41667,15612.24647
Florida,12,832365056,86765.16667,9593.30902
Georgia,13,507253732,29947.83333,16937.91088
Hawaii,15,241311849,24399.16667,9890.167655
Idaho,16,37201871,2802.5,13274.53024
Illinois,17,1218540212,44546.16667,27354.54705
Indiana,18,205405563,20329.66667,10103.73492
Iowa,19,181892407,32786.08333,5547.854105
Kansas,20,134610746,16990.25,7922.823149
Kentucky,21,258520710,57766.41667,4475.276898
Louisiana,22,202629993,12888.66667,15721.56362
Maine,23,78061646,12211,6392.731635
Maryland,24,573456428,50134.25,11438.41641
Massachusetts,25,962114661,79813,12054.61092
Michigan,26,1306871660,61280.25,21326.14766
Minnesota,27,486141013,43577.58333,11155.7589
Mississippi,28,73186977,18036.41667,4057.733769
Missouri,29,373488423,66089.83333,5651.223557
Montana,30,41390227,7418.166667,5579.57631
Nebraska,31,99332753,11318.33333,8776.270331
Nevada,32,98292072,31866.16667,3084.527644
New Hampshire,33,60180011,6567,9164.003502
New Jersey,34,1200433479,66124.75,18154.0721
New Mexico,35,186703641,36143.41667,5165.633418
New York,36,5211548074,263274.75,19795.09267
North Carolina,37,530834809,31223.25,17001.26697
North Dakota,38,37172730,3274.333333,11352.7629
Ohio,39,1052489369,122033.25,8624.611481
Oklahoma,40,153318748,15706.66667,9761.380388
Oregon,41,341235427,56785.33333,6009.217645
Pennsylvania,42,874691237,171544.3333,5098.922361
Rhode Island,44,156878162,13422.66667,11687.55553
South Carolina,45,271161678,25356.33333,10694.04138
South Dakota,46,27492637,6237.333333,4407.75497
Tennessee,47,241414710,111544.25,2164.295425
Texas,48,854536254,80118.25,10665.93759
Utah,49,78604277,9926.666667,7918.496675
Vermont,50,78555795,6518.583333,12051.05327
Virginia,51,255438645,56546.41667,4517.326827
Washington,53,863458600,94336.58333,9152.956038
West Virginia,54,129946230,18649.25,6967.906484
Wisconsin,55,579048807,64591.16667,8964.829664
Wyoming,56,27381000,742.5833333,36872.62934
